URI,Cnt
/AttachFiles/5.1.+BC+k.qua+t.hien+KN+sau+GSCD+cua+TT+HDND+tinh051220180831.pdf,1
/wp-content/plugins/mypixs/mypixs/downloadpage.php,1
/userfiles/file/TaiLieuTXCT+Ky+hop+6/href='/nghi-quyet-detail.aspx,1
/portal/pages/Ban-Van-hoa-Xa-hoi.aspx,2
/AttachFiles/3.+BC+ket+qua+GSCD+cua+TT+HDND+tinh051220180835.pdf,1
/wms,1
/AttachFiles/33.4.+BC+ket+qua+thuc+hien+cua+nguoi+tra+loi+chat+van+tai+ky+hop+thu+9+va+11+(So+VHTTDL)031220200918.pdf,1
/portal/Pages/2024-1-22/Dong-chi-Bi-thu-Tinh-uy-tham-chuc-Tet-can-bo-chienr4u6cb.aspx,1
/portal/Pages/2023-3-16/GOP-Y-VAO-DU-THAO-LUAT-DAT-DAI-SUA-DOI--Can-co-quy6fhtlr.aspx,1
/userfiles/media/TD+DBQH1.jpg,2
/portal/_res/fonts/RobotoCondensed-Bold.ttf,28
/portal/Photos/2024-03/_w/a90d36d104e3d40d1_20240318180913_png.jpg,14
/accounts/login/,1
/portal/Photos/2021-10-18/7ddce7eedbc2ea8dnam-dinh-nguyen-hai-dung.jpg,1
/wlsecurity.html,1
/.well-known/class.api.php,1
/portal/_res/fonts/Roboto/roboto-v18-latin_vietnamese_latin-ext-700.woff2,56
/robots.txt,55
/portal/ImageAds/cc33ffdd5fff695dadd1.jpg,12
/portal/Photos/2024-03/_t/6e87739028bc2b5da5_20240313090337_jpg.jpg,12
/hoidongnhandan/1231/29459/39416/Van-phong-HDND-tinh/AttachFiles/AttachFiles/03.+NQ+xac+nhan+ket+qua+bau+bo+sung+PCT+UBND+tinh220320211004.pdf,1
/server-info.action,1
/test.asp,1
/ajax-api/2.0/mlflow-artifacts/artifacts,1
/_layouts/tandan.portal/jslibs/jquery-ui/jquery-ui-1.9.0.custom.min.js,35
/portal/_res/img/tangtuongphan.png,13
/api/operations/ciscosb-file:form-file-upload,1
/portal/Photos/2024-01/_t/a12ee0ce325f43ad123_jpg.jpg,12
/app,12
/wp-login.php,6
/mgmt/tm/util/bash,2
"/portal/VanBan/2024-03/4f070a03d7118e7dNghị+quyết+kỳ+họp+16+HĐND+tỉnh+khóa+XIX,+NK+2021-2026.rar",1
/AttachFiles/AttachFiles/24_NQ_HDND120620200848.doc,1
/audio/27925.mp3,3
/fileup.ashx,1
/portal/_res_bak/img/print.png,1
"/portal/VanBan/2021-12/29a0905cdd46230d4.+56.+NQ+dinh+muc,+n.tac+phan+bo+von+dau+tu+cong+va+k.hoach+dau+tu+cong+trung+han.pdf",1
/xxc.php,1
/s=set&_method=__construct&method=*&filter[]=system,1
/audio/27578.mp3,1
/_layouts/tandan.portal/weather/img/48/01n.png,2
/hoidongnhandan/1231/29459/42097/Su-kien---Binh-luan/AttachFiles/07.+NQ+keo+dai+thuc+hien+NQ+24+2018+NQ+HDND+ve+thu+hoc+phi+den+het+nam+hoc+2021+2022200720210153.pdf,1
/wp-content/themes/wpclassic/inc/index.php,10
/audio/27872.mp3,1
/tools/Uploadhandler.ashx,1
"/AttachFiles/22.+Cap+nhat+thay+doi+quy+mo,+dia+diem+va+so+luong+c.trinh,+d.an+dat+quoc+phong+trong+dieu+chinh+QH+SDĐ031220200851.pdf",1
/detail-doccument-Thong-bao-So-56-TB-HDND-19.html,1
/audio/28011.mp3,1
/lib/dompdf/dompdf.php,1
/portal/_res/img/bg-title.png,24
/portal/_res/img/bg-footer-min.png,24
/AttachFiles/2.2.+BC+GSCĐ+về+hoạt+động+đơn+vị+SNCL100620201145.pdf,1
/portal/Photos/2023-03/90473d04e7ebd7fd1_20230310085116.png,1
/devmode.action,2
/boardDataWW.php,3
/hoidongnhandan/1231/29459/42078/Hoi-dong-nhan-dan-huyen-My-Loc/AttachFiles/8.+NQ+Chuong+trinh+giam+sat+nam+2021+cua+HDND+tinh140720200906.pdf,1
/portal/Pages/default.aspx,1867
/wp-content/themes/applica/400.php,10
/kubepi/api/v1/users,1
/wp-admin/setup-config.php,1
/Manage/Upfile,1
/portal/Pages/2024-1-31/Doan-dai-bieu-Quoc-hoi-tinh-giam-sat-chuyen-de-taihpc4d2.aspx,1
/pages/setup.php,1
/portal/Photos/2022-06/_t/a7ce4d01f10fd81d4_jpg.jpg,12
/AttachFiles/4.+Ch.thuan+b.sung+d.muc+d.an+phai+thu+hoi+dat+va+chuyen+doi+m.dich+s.dung+duoi+10ha+dat+lua+nam+2020290820200939.pdf,1
/portal/Pages/2023-3-27/xzuj8x.aspx,1
/portal/Pages/2021-10-20/Thong-bao-nhanh-ket-qua-Hoi-nghi-lan-thu-tu-Ban-Chu7sg0a.aspx,2
/wp-content/plugins/buddypress-component-stats/lib/dompdf/dompdf.php,1
/wp-includes/class.api.php,1
/public/index.php/material/Material/_download_imgage,3
/portal/Pages/contact.aspx,1
/portal/Pages/2021-11-8/Tap-huan-ve-nhiem-vu-quyen-han-va-ky-nang-hoat-don6xxwea.aspx,2
/van-ban-thuong-truc.aspx,2
/texteditor.php,1
/modules/miniform/ajax_delete_message.php,1
/_layouts/tandan.portal/weather/img/128/03d.png,6
/portal/Pages/2024-3-16/Khai-mac-Festival-Pho-2024-voi-chu-de-Con-duong-ph1o9weq.aspx,3
/portal/Pages/2024-1-22/Hoi-nghi-gap-mat-can-bo-huu-tri-co-quan-Van-phong-9sfopd.aspx,1
/portal/Pages/2023-11-26/Ky-hop-thu-6-Quoc-hoi-khoa-XV-Quy-dinh-ve-nong-do-brpq08.aspx,1
/cgi-bin/test,1
/saml/login,1
/hoidongnhandan/1231/29459/42086/Hoi-dong-nhan-dan-huyen-Y-Yen/AttachFiles/AttachFiles/NQ+30+XD+trung+tam+le+hoi+thuoc+khu+DTLSVH+Tran100620201158.pdf,1
/hoidongnhandan/1231/29459/40968/Thuong-truc-HDND-tinh/tai-lieu-detail.aspx,1
/cgi-bin/stats,1
/fp-content/,1
/audio/28059.mp3,1
/pig/add-pig.php,1
/audio/28024.mp3,1
/ads.txt,1
/portal/LinkImage/ed4b073d7df5b2fdda+cam.jpg,24
/portal/Photos/2024-01/_t/91e81f2d5c3ea6fd1_20240130182954_png.jpg,13
/portal/pages/photos,7
/portal/pages/Hoat-dong-cua-Ban-Van-hoa--Xa-hoi.aspx,2
/portal/Photos/2021-10-17/5a5fe1f7d1fc4a4ddtg.jpg,1
/source/loggin/page_log_dwn_file.hsp,1
/hoidongnhandan/1231/29459/39407/Gioi-thieu/AttachFiles/nghi-quyet-detail.aspx,1
/_layouts/tandan.portal/jslibs/back-to-top.js,34
/_layouts/tandan.portal/weather/img/128/04d.png,9
"/AttachFiles/15.+D.chinh,+b.sung+phan+bo+nguon+von+kinh+phi+su+nghiep+va+ke+hoach+vay+von+tu+nguon+Chinh+phu+cho+vay+lai+2020051220200750.pdf",1
"/AttachFiles/6.+To+trinh+ve+so+luong,+nhan+su+de+bau+Hoi+tham+nhan+dan+cua+Toa+an+nhan+dan+tinh+NK+2021-2026230620210802.pdf",1
/reports/rwservlet/showenv,4
/portal/Pages/2023-12-15/HDND-huyen-Y-Yen-to-chuc-ky-hop-thu-muoi-khoa-XIX-9dbim9.aspx,1
/portal/js/font-zoom.js,37
/userfiles/media/DC+NHD.jpg,2
/portal/Pages/2021-12-16/Khoi-cong-du-an-xay-dung-tuyen-duong-noi-tu-de-ta-9bsgb6.aspx,2
/getsamplebacklog,1
/portal/Pages/2024-3-27/,1
/PhpSpreadsheet/Writer/PDF/DomPDF.php,1
/hoidongnhandan/1231/29459/42086/Hoi-dong-nhan-dan-huyen-Y-Yen/AttachFiles/AttachFiles/24.+NQ+c.thuan+dieu+chinh+d.an+cai+tao+nang+cap+co+so+ha+tang+vung+nuoi+trong+thuy+san+H+Nghia+Hung200720210210.pdf,1
/Style+Library/en-US/Core+Styles/page-layouts-21.css,24
"/hoidongnhandan/1231/29459/40928/Thu-vien-anh/AttachFiles/AttachFiles/NQ+76+chap+thuan+dieu+chinh+du+an+cai+tao,+nang+cap+duong+Khang+Thuan,+H+Truc+Ninh151220200306.pdf",1
